#chromosome	start	end	length
1	-Inf	2709296	Inf
1	2709297	3350055	640758
1	3350056	3759959	409903
1	3759960	5920001	2160041
1	5920002	6699949	779947
1	6699950	7840025	1140075
1	7840026	7848611	8585
1	7848612	8410043	561431
1	8410044	9799852	1389808
1	9799853	10330418	530565
1	10330419	12789064	2458645
1	12789065	13940010	1150945
1	13940011	14109904	169893
1	14109905	15440708	1330803
1	15440709	16779901	1339192
1	16779902	17290057	510155
1	17290058	17959131	669073
1	17959132	19070880	1111748
1	19070881	19589976	519095
1	19589977	20230027	640050
1	20230028	21329501	1099473
1	21329502	21900083	570581
1	21900084	22219850	319766
1	22219851	22832179	612328
1	22832180	24799977	1967797
1	24799978	25890049	1090071
1	25890050	28289538	2399488
1	28289539	28860357	570818
1	28860358	28869449	9091
1	28869450	29440357	570907
1	29440358	29639494	199136
1	29639495	31180399	1540904
1	31180400	34089844	2909444
1	34089845	35220013	1130168
1	35220014	37269819	2049805
1	37269820	37940032	670212
1	37940033	38489907	549874
1	38489908	39750018	1260110
1	39750019	42049959	2299940
1	42049960	43220055	1170095
1	43220056	47909958	4689902
1	47909959	48690167	780208
1	48690168	48869913	179745
1	48869914	50660427	1790513
1	50660428	50889307	228879
1	50889308	51430388	541080
1	51430389	52829926	1399537
1	52829927	53511138	681211
1	53511139	53729954	218815
1	53729955	54510012	780057
1	54510013	55628617	1118604
1	55628618	57170003	1541385
1	57170004	57179934	9930
1	57179935	59120649	1940714
1	59120650	59139534	18884
1	59139535	60330433	1190898
1	60330434	60339829	9395
1	60339830	61920768	1580938
1	61920769	61929754	8985
1	61929755	62910264	980509
1	62910265	63069922	159657
1	63069923	63870098	800175
1	63870099	63879938	9839
1	63879939	65140995	1261056
1	65140996	65339232	198236
1	65339233	65850065	510832
1	65850066	66107305	257239
1	66107306	66820267	712961
1	66820268	66839958	19690
1	66839959	67390415	550456
1	67390416	67469979	79563
1	67469980	68510318	1040338
1	68510319	68619613	109294
1	68619614	70501709	1882095
1	70501710	70719702	217992
1	70719703	71472144	752441
1	71472145	71539391	67246
1	71539392	74831046	3291654
1	74831047	75039266	208219
1	75039267	75600208	560941
1	75600209	75688386	88177
1	75688387	76250029	561642
1	76250030	76259927	9897
1	76259928	77091915	831987
1	77091916	77099947	8031
1	77099948	78040893	940945
1	78040894	78438322	397428
1	78438323	79120090	681767
1	79120091	79129856	9765
1	79129857	82430026	3300169
1	82430027	82459900	29873
1	82459901	84330456	1870555
1	84330457	86049886	1719429
1	86049887	86900007	850120
1	86900008	87039967	139959
1	87039968	87570144	530176
1	87570145	87579990	9845
1	87579991	89580023	2000032
1	89580024	90479449	899425
1	90479450	92180106	1700656
1	92180107	94657722	2477615
1	94657723	95360114	702391
1	95360115	95369427	9312
1	95369428	97270016	1900588
1	97270017	97279692	9675
1	97279693	100340012	3060319
1	100340013	101447798	1107785
1	101447799	103341446	1893647
1	103341447	103479959	138512
1	103479960	109170610	5690650
1	109170611	111149907	1979296
1	111149908	111660074	510166
1	111660075	112319991	659916
1	112319992	113000003	680011
1	113000004	113659342	659338
1	113659343	114220766	561423
1	114220767	115319349	1098582
1	115319350	116231973	912623
1	116231974	116386723	154749
1	116386724	116930006	543282
1	116930007	116949629	19622
1	116949630	117620053	670423
1	117620054	118539442	919388
1	118539443	120161759	1622316
1	120161760	120509989	348229
1	120509990	145012155	24502165
1	145012156	145699196	687040
1	145699197	146630047	930850
1	146630048	147129727	499679
1	147129728	149870612	2740884
1	149870613	152086624	2216011
1	152086625	153270009	1183384
1	153270010	155309990	2039980
1	155309991	155880007	570016
1	155880008	159179669	3299661
1	159179670	159800002	620332
1	159800003	161199957	1399954
1	161199958	162330829	1130871
1	162330830	163118873	788043
1	163118874	165170099	2051225
1	165170100	165639490	469390
1	165639491	166810004	1170513
1	166810005	167409975	599970
1	167409976	168200689	790713
1	168200690	168209179	8489
1	168209180	169430285	1221105
1	169430286	169829583	399297
1	169829584	170690922	861338
1	170690923	171759815	1068892
1	171759816	172410474	650658
1	172410475	172559346	148871
1	172559347	173490048	930701
1	173490049	173909237	419188
1	173909238	174960251	1051013
1	174960252	175339967	379715
1	175339968	176830324	1490356
1	176830325	177249973	419648
1	177249974	177900093	650119
1	177900094	180249951	2349857
1	180249952	180850490	600538
1	180850491	181029920	179429
1	181029921	181680027	650106
1	181680028	183909980	2229952
1	183909981	184590049	680068
1	184590050	185279961	689911
1	185279962	185930118	650156
1	185930119	186649755	719636
1	186649756	193050401	6400645
1	193050402	193059578	9176
1	193059579	196641796	3582217
1	196641797	197908869	1267072
1	197908870	198660011	751141
1	198660012	198719988	59976
1	198719989	200570001	1850012
1	200570002	207649908	7079906
1	207649909	208200024	550115
1	208200025	208219609	19584
